South Bay Species vs. Year thru 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total Trawls,AG,AS,BBC,BG,BHS,BOC,BP,BPF,BR,BRF,BRO,BS,BSC,BSF,BSK,BSP,CAL,CBZ,CG,CH,CLF,COT,CRF,CRL,CSG,CT,DS,DSP,DT,EP,ES,GBY,GRF,GRU,GS,HB,HH,HMP,JS,KF,KG,KP,KS,LC,LFS,LS,LSD,MFE,MS,NA,NEW,NMS,NS,PB,PEN,PER,PH,PHB,PL,PM,PMS,POM,PP,PS,PSD,PSP,PT,RED,RF,RH,RL,RP,RS,RSP,RUB,SAL,SB,SBG,SC,SCA,SD,SDF,SF,SFS,SGF,SGS,SH,SHI,SHO,SHS,SIL,SIS,SKF,SM,SMS,SN,SPT,SS,SSD,SSN,SSP,STU,SUR,TC,TFS,THS,TP,TPS,TR,TS,TSS,UG,UMS,US,USP,WBS,WC,WHS,WS,WSB,WSP,YG,YR,Grand Total,,Total Trawls,
,,ARROW GOBY,AMERICAN SHAD,BROWN BULLHEAD CATFISH,BAY GOBY,BONYHEAD SCULPIN,BOCACCIO ROCKFISH,BLACK PERCH,BAY PIPEFISH,BAT RAY,BOLINAS ROCKFISH,BROWN ROCKFISH,BROWN SMOOTHHOUND,BUFFALO SCULPIN,BLACKTAIL SNAILFISH,BIG SKATE,BARRED SURFPERCH,CALICO SURFPERCH,CABEZON,CHAMELEON GOBY,CALIFORNIA HALIBUT,CALIFORNIA LIZARDFISH,C-O TURBOT,COPPER ROCKFISH,CURLFIN TURBOT,CHEEKSPOT GOBY,CALIFORNIA TONGUEFISH,DOVER SOLE,DWARF SURFPERCH,DIAMOND TURBOT,EEL POUT,ENGLISH SOLE,GOBY SP.,GRASS ROCKFISH,CALIF (SILVERSIDE) GRUNION,GREEN STURGEON,HALIBUT SP.,HORNYHEAD TURBOT,HALF MOON PERCH,JACKSMELT,KELP FISH,KELP GREENLING,KELP PIPEFISH,KING SALMON,LING COD,LONGFIN SMELT,LEOPARD SHARK,LONGFIN SANDDAB,MONKEY FACE EEL,MUDSUCKER,NORTHERN ANCHOVY,,NORTHERN MIDSHIPMAN,NIGHT SMELT,PACIFIC BUTTERFISH,PENPOINT GUNNEL,PACIFIC ELECTRIC RAY,PACIFIC HERRING,PACIFIC HALIBUT,PACIFIC LAMPREY,PACIFIC MACKEREL,PLAINFIN MIDSHIPMAN,POMPANO,PRICKLEBACK,PACIFIC SARDINE,PACIFIC SANDDAB,PILE SURFPERCH,PACIFIC TOMCOD,REDTAIL SURFPERCH,ROCKFISH,ROUND HERRING,RED IRISH LORD,REEF PERCH,REX SOLE,RAINBOW SURFPERCH,RUBBERLIP SURFPERCH,SALMON SPECIES,STRIPED BASS,SADDLEBACK GUNNEL,SCULPIN SP.,SCALYFIN SOLE,SANDDAB SP.,SPINY DOGFISH,STARRY FLOUNDER,SPOTFIN SURFPERCH,SHOVELNOSE GUITARFISH,SEVENGILL SHARK,UNIDENTIFIED SHAD,SHIMOFURI GOBY,SHOKIHAZE GOBI,STAGHORN SCULPIN,SILVER SURFPERCH,SILVERSIDE,SPOTTED KELPFISH,SMELT SP.,SPECKED FIN MIDSHIPMAN,SNAILFISH SP.,SPOTTED TURBOT,SAND SOLE,SPECKLED SANDDAB,SHOWY SNAILFISH,SHINER SURFPERCH,STURGEON SPECIES,SURF SMELT,TOMCOD,THREADFIN SHAD,THORNY SCULPIN,TULE PERCH,TIDEPOOL SCULPIN,THORNBACK RAY,TOPSMELT,THREE SPINE STICKLEBACK,UNKNOWN GOBY SPECIES,UNIDENTIFIED MIDSHIPMAN,UNKNOWN SOLE SPECIES,"SURFPERCH, SPECIES UNKNOWN",WHITEBAIT SMELT,WHITE CROAKER,WHITE SURFPERCH,WHITE STURGEON,WHITE SEABASS,WALLEYE SURFPERCH,YELLOWFIN GOBY,YELLOWTAIL ROCKFISH,,,,
1971,387,1,29,8,1,,,81,7,55,,,160,,,,49,,,,,,,,,,3,7,476,39,,2265,,,1,,,1,1,92,,,,,64,16,222,1,,143,16044,,1,9,,,,661,16,,1,157,1,,11,12,35,225,,39,52,4,118,,,8,,4,,2,1,17,31,98,,,,,,,596,23,,,121,6,,1,13,760,,7283,1,8,,128,,,,,41,2,800,18,120,438,,47,290,,,75,,,"32,040",3%,387,1971
1972,463,,32,,,,,39,72,56,,,80,,,1,162,,1,,5,,,,,,,,1874,62,,5527,,,,,,,,5,,,,,1,,123,,,1,9142,,,4,,,,1206,,,,22,,,8,65,1139,1,23,2,,2,12,2,1,,,1,,3,,117,12,214,,,,1,,,1197,,,,15,,,,1,14,,27252,1,1,,55,,,,,30,3,449,47,1,8,,,224,,,8,,,"49,324",5%,463,1972
1973,362,,45,,,,,46,75,38,,,106,,,,74,,,1,10,,,,,,3,,851,58,,3254,,,,1,,,,4,,,,,86,,74,,,1,87005,,,,,,,1139,,,,5,,,41,,356,1,,69,,,26,3,,1,,7,,64,1,565,31,78,2,,,65,,,596,,2,,15,,,,16,146,,7164,1,,,19,,,,,15,,456,14,,190,,2,277,1,,40,,,"103,140",11%,362,1973
1974,259,,45,,18,35,,32,65,36,,,27,,,1,177,,,10,4,,,,,,,,703,62,,15028,,,,,,,,4,,,,,5,,53,,,,15181,,,,,,,1231,,,,9,,,,,171,,,282,,,,,,,,13,,,,1866,28,113,,,,19,,,771,,,,1,,,,,1,,4161,,8,9,10,,,,,33,,475,21,,,,2,304,1,,13,37,,"41,065",4%,259,1974
1975,316,,68,,10,10,35,195,40,20,,16,35,1,,,132,,52,3,14,,,2,,,,,556,14,,6890,,6,,,,,,,7,54,7,,82,,125,,,,6114,,,425,,12,,609,,,,74,,1,,,267,11,,644,,9,,,236,9,1,13,,,,234,32,324,,,,45,,,330,,,,2,,,1,6,480,,3828,,134,,7,,,,,453,,567,16,,13,,80,333,,,271,,,"23,955",3%,316,1975
1976,376,,100,,3,3,,9,43,53,,1,61,,,,92,,3,,,,1,,,,,,52,16,,3566,,,,,,,,16,,,,,,,37,,,,10472,,,4,,,,732,1,,,18,,,,29,70,,,1,,,,,1,2,,2,,,,142,9,35,1,,1,23,,,340,,,,14,,,,1,18,,3413,1,3,,3,,,,,18,,1212,7,,1,,7,71,,,7,14,,"20,729",2%,376,1976
1977,335,,9,,12,35,,6,15,58,,13,161,,,6,282,,,16,39,,,,,,432,,143,86,,156,,,,,,,,5,,,,,3,,29,,,,6025,,,,,,,51,,,,38,,,,12,40,4,,34,,,,,,,,1,1,,,694,5,54,,,,,,,147,,,,114,,,,4,137,,2012,,20,,18,,,,,58,,423,11,,,,258,47,1,,30,10,,"11,755",1%,335,1977
1978,277,,24,,21,39,,12,54,17,,39,38,,,,75,,,11,89,,,,,,17,,149,41,,4050,,,,,,,,,,,,,1,4,55,,,,39975,,,,,,,1269,,,,23,,,,,114,7,,16,,,,,,,,5,3,14,,1001,5,75,1,,,2,,,149,,,,1,,,,,34,,3796,,,,7,,,,,8,,483,1,,,,10,208,,,178,16,,"52,137",6%,277,1978
1979,260,,13,,190,37,,20,59,44,,87,19,,,3,194,,,54,88,,2,,,,3,,206,17,,5474,,,,,,,,2,,,,,31,9,54,,,,22275,,,,1,,,1464,,,,37,,,,,60,49,1,7,,,,,,,,,,,,1195,7,40,,,,24,,,398,,,,3,,,,,6,,4333,1,11,2,,,,,,7,,252,2,,,2,26,84,,,37,5,,"36,935",4%,260,1979
